Residence type,Place of residence,Age,Profession,Level of education,Family type,Family having children,Head of the family,Monthly income,Monthly income percentage allocated for wife,First torture experience,First type of torture,Current form of abuse,Place of most abuse,Type of marriage,Spouse divorced before the current marriage,Duration of current marriage,Extramarital affairs?,Level of satisfaction with marital life,Spouse physically capable of having sex,Level of satisfaction with sexual relationship patterns,Do you want Bangladesh to pass male torture law?,Are you (male) a victim of domestic abuse by your wife?
urban,Dhaka,42,Employed,High school,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,Mental,Verbal,Outside (in front of everyone),Arranged Marriage,Both previously divorced,1-3 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,21,Employed,Postgraduate,Joint family (with in-laws),married with children,0,5001-10000,1-10%,After 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully satisfied,No,0
suburban,Sylhet,36,Unemployed,High school,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Husband previously divorced,1-3 years,Wife involved in adultery,Satisfied,Both are capable,Partially satisfied,Yes,0
urban,Khulna,37,Employed,Graduate,Joint family (without in-laws),married without children,1,15001-25000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,No,1
urban,Chittagong,25,Businessman,Graduate,Joint family (with in-laws),married with children,0,15001-25000,100%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Husband involved in adultery,Fully dissatisfied,Husband is not capable,Dissatisfied,Yes,0
urban,Sylhet,40,Employed,Graduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,Mental,Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Both involved in adultery,Fully dissatisfied,Husband is not capable,Fully dissatisfied,Yes,1
urban,Dhaka,33,Employed,Postgraduate,Joint family (with in-laws),married without children,1,15001-25000,100%,Within the 1st month of marriage,Verbal,Verbal,In the house,Love Marriage,Wife previously divorced,1-3 years,Husband involved in adultery,Partially dissatisfied,Wife is not capable,Fully satisfied,No,0
urban,Dhaka,44,Student,High school,Single family,married with children,1,5001-10000,11-30%,After 12 months of marriage,"Mental, verbal","Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Satisfied,Husband is not capable,Satisfied,Yes,0
suburban,Sylhet,21,Businessman,Postgraduate,Joint family (with in-laws),married without children,1,25001-50000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Outside (in front of everyone),Love Marriage,Both previously divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are incapable,Dissatisfied,No,0
rural,Mymensingh,42,Employed,Postgraduate,Single family,married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Arranged Marriage,Both previously divorced,1-3 years,Wife involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Chittagong,23,Businessman,Graduate,Joint family (with in-laws),married without children,1,0,0%,Between 2nd to 6th month of marriage,"Mental, verbal",Verbal,In the house,Arranged Marriage,Both previously divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Husband is not capable,Fully satisfied,Yes,0
rural,Comilla,32,Businessman,High school,Single family,married with children,0,15001-25000,31-50%,Within 6 months to 12 months of marriage,Mental,"Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Both involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
rural,Dhaka,37,Businessman,Postgraduate,Joint family (with in-laws),married with children,0,5001-10000,11-30%,Between 2nd to 6th month of marriage,Verbal,"Physical, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully satisfied,Yes,0
suburban,Chittagong,23,Employed,Postgraduate,Joint family (with in-laws),married with children,1,25001-50000,100%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Fully satisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Comilla,28,Abroad,High school,Joint family (with in-laws),married without children,1,5001-10000,51-75%,Within 6 months to 12 months of marriage,Mental,Verbal,In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Husband involved in adultery,Fully satisfied,Both are capable,Partially dissatisfied,No,0
suburban,Chittagong,26,Employed,High school,Joint family (with in-laws),married without children,1,15001-25000,1-10%,After 12 months of marriage,Mental,"Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Satisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Rangpur,36,Employed,Postgraduate,Joint family (with in-laws),married without children,1,15001-25000,100%,Between 2nd to 6th month of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Fully satisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Barisal,41,Unemployed,Postgraduate,Single family,married without children,0,0,0%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Both are capable,Partially satisfied,Yes,1
suburban,Dhaka,28,Unemployed,High school,Joint family (without in-laws),married without children,1,0,0%,Within 6 months to 12 months of marriage,Mental,Verbal,Both indoors and outdoors,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,No,0
urban,Chittagong,40,Employed,High school,Joint family (with in-laws),married with children,0,50000-More,51-75%,Within the 1st month of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,Yes,0
urban,Rangpur,45,Unemployed,High school,Joint family (without in-laws),married with children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Wife previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Rajshahi,34,Unemployed,Postgraduate,Single family,married without children,0,0,0%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Fully satisfied,Yes,0
suburban,Dhaka,25,Employed,Postgraduate,Single family,married with children,1,0,0%,Within the 1st month of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
rural,Rangpur,27,Abroad,High school,Single family,married with children,1,15001-25000,31-50%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Husband previously divorced,1-3 years,Husband involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
suburban,Sylhet,29,Businessman,High school,Joint family (with in-laws),married without children,1,5001-10000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Mental,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
rural,Dhaka,35,Employed,Postgraduate,Joint family (without in-laws),married without children,1,0,0%,Between 2nd to 6th month of marriage,Verbal,Verbal,Both indoors and outdoors,Arranged Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Dhaka,44,Businessman,High school,Joint family (with in-laws),married with children,1,25001-50000,51-75%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Mental,In the house,Love Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Partially dissatisfied,Both are incapable,Fully dissatisfied,No,1
urban,Rangpur,44,Businessman,Graduate,Single family,married without children,1,15001-25000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",Both indoors and outdoors,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are incapable,Dissatisfied,Yes,0
rural,Chittagong,30,Student,Postgraduate,Joint family (with in-laws),married with children,1,15001-25000,31-50%,After 12 months of marriage,"Mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Both involved in adultery,Fully satisfied,Both are incapable,Fully dissatisfied,Yes,0
urban,Dhaka,42,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,1-10%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,37,Employed,Graduate,Single family,married with children,1,50000-More,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Husband is not capable,Satisfied,Yes,0
urban,Chittagong,32,Employed,High school,Single family,married with children,1,25001-50000,51-75%,After 12 months of marriage,Verbal,Mental,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Partially dissatisfied,Both are capable,Partially satisfied,Yes,0
urban,Comilla,20,Employed,High school,Single family,married with children,1,25001-50000,11-30%,Within the 1st month of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,23,Businessman,Graduate,Single family,married without children,1,15001-25000,31-50%,After 12 months of marriage,Mental,Verbal,In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Wife involved in adultery,Fully satisfied,Husband is not capable,Satisfied,Yes,1
suburban,Dhaka,26,Unemployed,Graduate,Joint family (with in-laws),married without children,0,0,0%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal",Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Husband is not capable,Satisfied,No,0
urban,Chittagong,23,Businessman,High school,Joint family (without in-laws),married with children,1,25001-50000,1-10%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Satisfied,Yes,0
urban,Dhaka,22,Businessman,High school,Joint family (without in-laws),married without children,1,25001-50000,1-10%,After 12 months of marriage,"Mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Husband is not capable,Fully dissatisfied,No,0
rural,Sylhet,45,Employed,High school,Joint family (without in-laws),married without children,0,15001-25000,1-10%,After 12 months of marriage,Verbal,"Physical, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
urban,Rajshahi,22,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,31-50%,After 12 months of marriage,"Mental, verbal","Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are incapable,Dissatisfied,Yes,0
suburban,Chittagong,23,Abroad,Graduate,Single family,married without children,1,15001-25000,51-75%,Within the 1st month of marriage,Mental,Mental,In the house,Love Marriage,Both previously divorced,More than 10 years,Husband involved in adultery,Dissatisfied,Both are capable,Fully satisfied,Yes,0
urban,Chittagong,40,Employed,Postgraduate,Single family,married with children,1,15001-25000,31-50%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Arranged Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully satisfied,Yes,0
